Name, Events, Unique Decks, Total Points, Average Points, Winrate, Trophies, Top Cuts, 2-X or better Count, Longest Positive Record Streak, Most Played Decks
Impulse, 34, 8, 314, 9.24, 0.83, 19, 21, 30, 18, "Jeskai Midrange, Jeskai Control, WURG Omnath"
JWyatt, 27, 8, 162, 6.00, 0.64, 1, 3, 23, 8, "Grixis Thoracle, Czech Scapeshift, Jeskai Black"
Cyclopes8, 36, 15, 168, 4.67, 0.50, 2, 4, 19, 8, "Rakdos Midrange, Naya Initiative, Gruul Aggro"
hyunkim87, 28, 8, 149, 5.32, 0.56, 0, 4, 19, 6, "WURG Seeker Walk, Naya Winota, Gruul Monsters"
Yeti, 22, 4, 162, 7.36, 0.71, 3, 9, 19, 17, "Humans and Taxes, Death and Taxes, Medium Red"
GenghisPrawn, 33, 7, 180, 5.45, 0.56, 2, 7, 18, 5, "Jund Midrange, Czech Midrange, Jund Initiative"
kelvin, 32, 14, 152, 4.75, 0.52, 1, 2, 17, 3, "Flash Hulk, Lotusless Breach Storm, Red Deck Wins"
Fry Guy, 24, 15, 127, 5.29, 0.56, 1, 3, 16, 6, "Gruul Monsters, Grixis Tinker Reanimator, Flash Hulk"
Axelia, 34, 1, 150, 4.41, 0.46, 1, 6, 14, 3, "5C Superfriends"
Purukogi, 31, 13, 127, 4.10, 0.44, 2, 3, 11, 1, "Eggs, Jeskai Vault, Lotus Breach Storm"
Harju, 21, 8, 94, 4.48, 0.49, 1, 2, 10, 3, "Jeskai Vault, Jeskai Midrange, Grixis Welder"
Vaaste, 22, 15, 73, 3.32, 0.37, 0, 0, 6, 1, "Atraxa and Taxes, Jeskai Midrange, WUBR Tempo"
WonkyWombat, 13, 3, 58, 4.46, 0.47, 0, 2, 6, 3, "Red Deck Wins, Esper Thoracle, Lotusless Breach Storm"
Cymbalman, 9, 4, 45, 5.00, 0.54, 0, 1, 6, 3, "Naya Winota, WURG Seeker Walk, Boros Death and Taxes"
Minstrel, 9, 6, 47, 5.22, 0.56, 0, 1, 6, 3, "WUBG Oath Control, UBRG Welder, Sultai Control"
JazzE, 13, 6, 64, 4.92, 0.52, 1, 2, 5, 3, "WUBG Midrange, Jeskai Midrange, WURG Omnath"
Shakashaka, 7, 5, 33, 4.71, 0.52, 0, 0, 5, 4, "Temur Moon, Rakdos Goblins, Naya Pod"
Wilbur, 10, 4, 58, 5.80, 0.59, 2, 3, 5, 3, "Esper Reanimator, Esper Reanimator Thoracle, Grixis Reanimator"
Yannic, 6, 3, 33, 5.50, 0.52, 0, 2, 4, 3, "WURG Omnath, Mono Blue Control, 4C Blink Pod"
Calhove, 13, 8, 45, 3.46, 0.37, 0, 1, 4, 3, "Naya Initiative, Mardu Initiative, Naya Pod"
Jamesses, 7, 6, 33, 4.71, 0.52, 0, 0, 4, 2, "Dredge, Flash Oath, Jeskai Welder"
Tr33vs, 6, 3, 36, 6.00, 0.60, 1, 1, 3, 3, "Death and Taxes, Red Deck Wins, Gruul Monsters"
Funkyzeit, 6, 2, 24, 4.00, 0.44, 0, 0, 3, 2, "Boros Death and Taxes, Jund Initiative"
Rick, 19, 18, 52, 2.74, 0.30, 0, 0, 3, 1, "Jund Goblins, Dimir High Tide, DoomsDragon"
Hal, 6, 3, 21, 3.50, 0.39, 0, 0, 3, 2, "Mono Black Aggro, The Rock, Orzhov Control"
Paul Pilz, 3, 3, 18, 6.00, 0.67, 0, 0, 3, 3, "Eggs, Azorius Moon, Paradox Academy"
Delaelle, 5, 3, 21, 4.20, 0.47, 0, 0, 3, 2, "Lotusless Breach Storm, WURG Omnath, WURG Seeker Walk"
TherealEMT, 6, 4, 27, 4.50, 0.50, 0, 0, 3, 2, "5C Seeker Walk, Jeskai Midrange, Azorius Control"
BIRD | Jonas, 8, 3, 24, 3.00, 0.33, 0, 0, 3, 3, "Black Mold, Medium Green, Abzan Angels"
violetblight, 3, 3, 19, 6.33, 0.70, 0, 0, 3, 3, "Jeskai Welder, Grixis Midrange, Temur Lands Walks"
Oogablast, 6, 3, 27, 4.50, 0.50, 0, 0, 3, 2, "Grixis Midrange, WUBG Initiative, Jeskai Vault"
TicTaco, 8, 5, 33, 4.13, 0.44, 0, 1, 2, 1, "Pattern Rector, Grixis Welder, 4C Welder"
JadedTrekkie, 10, 5, 36, 3.60, 0.39, 0, 1, 2, 2, "Medium Red, Yawgmoth's Jacuzzi, Paradox Academy"
Sir Nikheizen, 6, 3, 18, 3.00, 0.33, 0, 0, 2, 1, "Simic Merfolk, Jund Aristocrats, Sultai Lands Control"
Raicune, 4, 4, 21, 5.25, 0.50, 0, 2, 2, 1, "Czech Midrange, WURG Seeker Walk, Esper Initiative"
Violet Eventide, 6, 3, 24, 4.00, 0.42, 0, 1, 2, 2, "Jeskai Control, WURG Lands Midrange, 5C Lands Combo"
Mehall, 8, 4, 21, 2.63, 0.29, 0, 0, 2, 1, "Jeskai Vault, Selesnya Legends, Pattern Rector"
Bailite, 4, 2, 15, 3.75, 0.42, 0, 0, 2, 1, "Abzan Midrange, Abzan Lands"
Swinters, 5, 3, 21, 4.20, 0.44, 0, 1, 2, 2, "Naya Pod, 4C Blood, Unknown"
Chirurgeon, 3, 1, 15, 5.00, 0.56, 0, 0, 2, 2, "Medium Boros"
Adonalsium, 3, 1, 16, 5.33, 0.59, 0, 0, 2, 2, "Medium Red"
Broken myth, 2, 1, 12, 6.00, 0.67, 0, 0, 2, 2, "Death and Taxes"
UnusualThunder, 2, 1, 12, 6.00, 0.67, 0, 0, 2, 2, "WUBG Food"
Sam, 4, 1, 12, 3.00, 0.33, 0, 0, 1, 1, "Pattern Rector"
Gabe Sorci, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "4C Pod"
Johann, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Lotus Breach Storm, Temur Tempo"
Deggers, 3, 3, 9, 3.00, 0.33, 0, 0, 1, 1, "Blue Moon, Jeskai Control, WURG Omnath"
Andrew and Drew, 4, 2, 9, 2.25, 0.25, 0, 0, 1, 1, "Unknown, 4C Artifacts"
KannNicks, 1, 1, 9, 9.00, 0.60, 0, 1, 1, 1, "Flash Oath"
