Colors,,,,,,,,,,Color Combinations
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 75, 414, 0.69, 1875, 4.53, 0.48, 31, 202,,5 Color, 12, 102, 0.17, 508, 4.98, 0.52, 12, 50
Blue, 88, 434, 0.73, 1997, 4.60, 0.49, 35, 203,,WUBG, 12, 56, 0.09, 245, 4.38, 0.47, 4, 27
Black, 75, 398, 0.67, 1834, 4.61, 0.49, 32, 190,,Esper, 6, 48, 0.08, 217, 4.52, 0.49, 2, 24
Red, 72, 330, 0.55, 1509, 4.57, 0.49, 25, 154,,WUBR, 4, 33, 0.06, 181, 5.48, 0.59, 5, 23
Green, 72, 319, 0.54, 1509, 4.73, 0.50, 27, 155,,WURG, 6, 23, 0.04, 111, 4.83, 0.52, 1, 14
,,,,,,,,,,Naya, 2, 19, 0.03, 102, 5.37, 0.57, 1, 12
,,,,,,,,,,Grixis, 5, 26, 0.04, 117, 4.50, 0.48, 1, 11
Number of Colors,,,,,,,,,,Bant, 4, 24, 0.04, 106, 4.42, 0.47, 1, 11
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Dimir, 4, 25, 0.04, 115, 4.60, 0.50, 3, 10
Mono, 10, 20, 0.03, 56, 2.80, 0.31, 0, 5,,Orzhov, 1, 10, 0.02, 69, 6.90, 0.68, 2, 8
Two, 31, 135, 0.23, 559, 4.14, 0.44, 11, 53,,Jeskai, 6, 23, 0.04, 85, 3.70, 0.40, 0, 8
Three, 50, 201, 0.34, 878, 4.37, 0.47, 8, 89,,Azorius, 4, 23, 0.04, 78, 3.39, 0.37, 1, 7
Four, 25, 123, 0.21, 594, 4.83, 0.52, 11, 69,,Rakdos, 3, 22, 0.04, 81, 3.68, 0.40, 1, 7
Five, 12, 102, 0.17, 508, 4.98, 0.52, 12, 50,,Jund, 5, 12, 0.02, 52, 4.33, 0.47, 0, 6
,,,,,,,,,,Abzan, 5, 15, 0.03, 52, 3.47, 0.39, 0, 6
,,,,,,,,,,Gruul, 2, 9, 0.02, 45, 5.00, 0.56, 1, 5
,,,,,,,,,,Golgari, 3, 13, 0.02, 51, 3.92, 0.42, 0, 5
,,,,,,,,,,Sultai, 5, 10, 0.02, 52, 5.20, 0.54, 1, 5
,,,,,,,,,,UBRG, 3, 11, 0.02, 57, 5.18, 0.56, 1, 5
,,,,,,,,,,Selesnya, 2, 8, 0.01, 39, 4.88, 0.48, 2, 4
,,,,,,,,,,Boros, 5, 12, 0.02, 33, 2.75, 0.31, 0, 3
,,,,,,,,,,Mardu, 5, 13, 0.02, 36, 2.77, 0.31, 0, 3
,,,,,,,,,,Temur, 7, 11, 0.02, 59, 5.36, 0.53, 2, 3
,,,,,,,,,,Mono White, 1, 5, 0.01, 13, 2.60, 0.29, 0, 2
,,,,,,,,,,Mono Red, 3, 6, 0.01, 21, 3.50, 0.37, 0, 2
,,,,,,,,,,Izzet, 4, 8, 0.01, 21, 2.63, 0.29, 0, 2
,,,,,,,,,,Simic, 3, 5, 0.01, 27, 5.40, 0.56, 1, 2
,,,,,,,,,,Mono Blue, 3, 6, 0.01, 18, 3.00, 0.33, 0, 1
,,,,,,,,,,Mono Black, 2, 2, 0.00, 1, 0.50, 0.06, 0, 0
,,,,,,,,,,Mono Green, 1, 1, 0.00, 3, 3.00, 0.33, 0, 0
,,,,,,,,,,WBRG, 0, 0, 0.00, 0, 0, 0, 0, 0
